Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,49.20800% to 50.147200%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
3.54936e-03,1.64,1.64
3.54944e-03,1.64,1.72
3.54952e-03,1.64,1.6
3.54960e-03,1.64,1.68
3.54968e-03,1.64,1.6
3.54976e-03,1.64,1.68
3.54984e-03,1.64,1.6
3.54992e-03,1.64,1.68
3.55000e-03,1.6,1.6
3.55008e-03,1.64,1.68
3.55016e-03,1.64,1.6
3.55024e-03,1.64,1.68
3.55032e-03,1.64,1.6
3.55040e-03,1.68,1.68
3.55048e-03,1.68,1.6
3.55056e-03,1.68,1.68
3.55064e-03,1.68,1.64
3.55072e-03,1.68,1.72
3.55080e-03,1.68,1.68
3.55088e-03,1.68,1.72
3.55096e-03,1.68,1.68
3.55104e-03,1.68,1.72
3.55112e-03,1.68,1.68
3.55120e-03,1.64,1.72
3.55128e-03,1.64,1.64
3.55136e-03,1.64,1.72
3.55144e-03,1.68,1.6
3.55152e-03,1.64,1.68
3.55160e-03,1.64,1.6
3.55168e-03,1.64,1.68
3.55176e-03,1.64,1.6
3.55184e-03,1.64,1.68
3.55192e-03,1.64,1.6
3.55200e-03,1.64,1.68
3.55208e-03,1.64,1.6
3.55216e-03,1.64,1.68
3.55224e-03,1.64,1.6
3.55232e-03,1.64,1.68
3.55240e-03,1.68,1.6
3.55248e-03,1.68,1.68
3.55256e-03,1.68,1.64
3.55264e-03,1.68,1.72
3.55272e-03,1.68,1.68
3.55280e-03,1.72,1.72
3.55288e-03,1.68,1.68
3.55296e-03,1.68,1.72
3.55304e-03,1.68,1.68
3.55312e-03,1.68,1.72
3.55320e-03,1.64,1.64
3.55328e-03,1.64,1.72
3.55336e-03,1.64,1.6
3.55344e-03,1.64,1.68
3.55352e-03,1.64,1.6
3.55360e-03,1.64,1.68
3.55368e-03,1.64,1.6
3.55376e-03,1.64,1.68
3.55384e-03,1.68,1.6
3.55392e-03,1.64,1.68
3.55400e-03,1.68,1.6
3.55408e-03,1.64,1.68
3.55416e-03,1.64,1.6
3.55424e-03,1.64,1.68
3.55432e-03,1.68,1.6
3.55440e-03,1.68,1.68
3.55448e-03,1.72,1.64
3.55456e-03,1.68,1.72
3.55464e-03,1.72,1.68
3.55472e-03,1.72,1.72
3.55480e-03,1.68,1.68
3.55488e-03,1.68,1.72
3.55496e-03,1.68,1.68
3.55504e-03,1.68,1.76
3.55512e-03,1.64,1.64
3.55520e-03,1.68,1.72
3.55528e-03,1.64,1.6
3.55536e-03,1.64,1.68
3.55544e-03,1.64,1.6
3.55552e-03,1.68,1.68
3.55560e-03,1.68,1.64
3.55568e-03,1.68,1.68
3.55576e-03,1.64,1.6
3.55584e-03,1.64,1.68
3.55592e-03,1.64,1.6
3.55600e-03,1.64,1.68
3.55608e-03,1.68,1.64
3.55616e-03,1.68,1.68
3.55624e-03,1.68,1.64
3.55632e-03,1.68,1.68
3.55640e-03,1.72,1.64
3.55648e-03,1.72,1.72
3.55656e-03,1.72,1.68
3.55664e-03,1.68,1.72
3.55672e-03,1.72,1.68
3.55680e-03,1.72,1.76
3.55688e-03,1.72,1.68
3.55696e-03,1.68,1.72
3.55704e-03,1.68,1.64
3.55712e-03,1.68,1.72
3.55720e-03,1.64,1.64
3.55728e-03,1.64,1.72
3.55736e-03,1.64,1.6
3.55744e-03,1.68,1.68
3.55752e-03,1.64,1.64
3.55760e-03,1.64,1.68
3.55768e-03,1.68,1.6
3.55776e-03,1.68,1.68
3.55784e-03,1.68,1.6
3.55792e-03,1.68,1.68
3.55800e-03,1.64,1.64
3.55808e-03,1.68,1.68
3.55816e-03,1.68,1.6
3.55824e-03,1.68,1.68
3.55832e-03,1.72,1.64
3.55840e-03,1.68,1.72
3.55848e-03,1.72,1.68
3.55856e-03,1.72,1.76
3.55864e-03,1.72,1.68
3.55872e-03,1.72,1.76
3.55880e-03,1.68,1.68
3.55888e-03,1.68,1.76
3.55896e-03,1.68,1.68
3.55904e-03,1.68,1.72
3.55912e-03,1.68,1.64
3.55920e-03,1.64,1.72
3.55928e-03,1.64,1.6
3.55936e-03,1.64,1.68
3.55944e-03,1.68,1.6
3.55952e-03,1.64,1.68
3.55960e-03,1.68,1.6
3.55968e-03,1.68,1.68
3.55976e-03,1.64,1.6
3.55984e-03,1.68,1.68
3.55992e-03,1.64,1.64
3.56000e-03,1.68,1.68
3.56008e-03,1.68,1.6
3.56016e-03,1.68,1.68
3.56024e-03,1.68,1.64
3.56032e-03,1.68,1.72
3.56040e-03,1.72,1.68
3.56048e-03,1.68,1.72
3.56056e-03,1.72,1.68
3.56064e-03,1.72,1.72
3.56072e-03,1.68,1.68
3.56080e-03,1.68,1.76
3.56088e-03,1.64,1.64
3.56096e-03,1.64,1.76
3.56104e-03,1.64,1.6
3.56112e-03,1.64,1.68
3.56120e-03,1.64,1.6
3.56128e-03,1.68,1.68
3.56136e-03,1.64,1.6
3.56144e-03,1.6,1.68
3.56152e-03,1.68,1.6
3.56160e-03,1.64,1.68
3.56168e-03,1.64,1.6
3.56176e-03,1.64,1.68
3.56184e-03,1.6,1.6
3.56192e-03,1.6,1.68
3.56200e-03,1.68,1.6
3.56208e-03,1.68,1.68
3.56216e-03,1.68,1.6
3.56224e-03,1.68,1.68
3.56232e-03,1.68,1.64
3.56240e-03,1.68,1.72
3.56248e-03,1.68,1.64
3.56256e-03,1.68,1.72
3.56264e-03,1.68,1.64
3.56272e-03,1.68,1.72
3.56280e-03,1.64,1.64
3.56288e-03,1.64,1.72
3.56296e-03,1.6,1.6
3.56304e-03,1.64,1.68
3.56312e-03,1.64,1.6
3.56320e-03,1.64,1.68
3.56328e-03,1.6,1.56
3.56336e-03,1.64,1.68
3.56344e-03,1.64,1.6
3.56352e-03,1.64,1.64
3.56360e-03,1.64,1.6
3.56368e-03,1.64,1.68
3.56376e-03,1.6,1.6
3.56384e-03,1.6,1.68
3.56392e-03,1.64,1.6
3.56400e-03,1.64,1.64
3.56408e-03,1.68,1.6
3.56416e-03,1.68,1.68
3.56424e-03,1.68,1.64
3.56432e-03,1.68,1.72
3.56440e-03,1.68,1.64
3.56448e-03,1.68,1.72
3.56456e-03,1.68,1.64
3.56464e-03,1.68,1.72
3.56472e-03,1.64,1.64
3.56480e-03,1.64,1.72
3.56488e-03,1.64,1.6
3.56496e-03,1.6,1.68
3.56504e-03,1.6,1.56
3.56512e-03,1.6,1.68
3.56520e-03,1.64,1.56
3.56528e-03,1.64,1.64
3.56536e-03,1.64,1.6
3.56544e-03,1.64,1.64
3.56552e-03,1.64,1.6
3.56560e-03,1.64,1.68
3.56568e-03,1.64,1.6
3.56576e-03,1.64,1.68
3.56584e-03,1.64,1.6
3.56592e-03,1.68,1.68
3.56600e-03,1.68,1.6
3.56608e-03,1.68,1.68
3.56616e-03,1.68,1.64
3.56624e-03,1.72,1.72
3.56632e-03,1.68,1.64
3.56640e-03,1.64,1.72
3.56648e-03,1.68,1.64
3.56656e-03,1.68,1.72
3.56664e-03,1.64,1.64
3.56672e-03,1.64,1.72
3.56680e-03,1.64,1.6
3.56688e-03,1.64,1.68
3.56696e-03,1.64,1.6
3.56704e-03,1.6,1.68
3.56712e-03,1.6,1.6
3.56720e-03,1.6,1.64
3.56728e-03,1.6,1.6
3.56736e-03,1.64,1.68
3.56744e-03,1.6,1.6
3.56752e-03,1.64,1.64
3.56760e-03,1.64,1.6
3.56768e-03,1.6,1.68
3.56776e-03,1.64,1.6
3.56784e-03,1.64,1.68
3.56792e-03,1.64,1.6
3.56800e-03,1.64,1.68
3.56808e-03,1.68,1.6
3.56816e-03,1.68,1.68
3.56824e-03,1.68,1.64
3.56832e-03,1.68,1.72
3.56840e-03,1.72,1.64
3.56848e-03,1.64,1.72
3.56856e-03,1.64,1.64
3.56864e-03,1.64,1.72
3.56872e-03,1.6,1.6
3.56880e-03,1.64,1.68
3.56888e-03,1.6,1.6
3.56896e-03,1.6,1.68
3.56904e-03,1.6,1.6
3.56912e-03,1.6,1.68
3.56920e-03,1.64,1.6
3.56928e-03,1.6,1.64
3.56936e-03,1.6,1.6
3.56944e-03,1.64,1.68
3.56952e-03,1.6,1.6
3.56960e-03,1.6,1.68
3.56968e-03,1.64,1.6
3.56976e-03,1.64,1.68
3.56984e-03,1.68,1.6
3.56992e-03,1.68,1.68
3.57000e-03,1.68,1.64
3.57008e-03,1.68,1.72
3.57016e-03,1.72,1.64
3.57024e-03,1.68,1.72
3.57032e-03,1.68,1.64
3.57040e-03,1.68,1.72
3.57048e-03,1.68,1.64
3.57056e-03,1.64,1.72
3.57064e-03,1.64,1.6
3.57072e-03,1.64,1.68
3.57080e-03,1.64,1.6
3.57088e-03,1.68,1.68
3.57096e-03,1.6,1.6
3.57104e-03,1.64,1.68
3.57112e-03,1.64,1.6
3.57120e-03,1.64,1.64
3.57128e-03,1.6,1.6
3.57136e-03,1.64,1.64
3.57144e-03,1.68,1.6
3.57152e-03,1.64,1.68
3.57160e-03,1.64,1.6
3.57168e-03,1.64,1.68
3.57176e-03,1.68,1.6
3.57184e-03,1.68,1.68
3.57192e-03,1.72,1.64
3.57200e-03,1.72,1.72
3.57208e-03,1.68,1.64
3.57216e-03,1.68,1.72
3.57224e-03,1.68,1.64
3.57232e-03,1.68,1.76
3.57240e-03,1.68,1.64
3.57248e-03,1.64,1.72
3.57256e-03,1.64,1.64
3.57264e-03,1.64,1.72
3.57272e-03,1.64,1.6
3.57280e-03,1.64,1.68
3.57288e-03,1.64,1.6
3.57296e-03,1.64,1.68
3.57304e-03,1.64,1.6
3.57312e-03,1.64,1.68
3.57320e-03,1.64,1.6
3.57328e-03,1.64,1.68
3.57336e-03,1.68,1.6
3.57344e-03,1.64,1.68
3.57352e-03,1.68,1.6
3.57360e-03,1.68,1.68
3.57368e-03,1.68,1.6
3.57376e-03,1.72,1.68
3.57384e-03,1.72,1.64
3.57392e-03,1.68,1.72
3.57400e-03,1.72,1.64
3.57408e-03,1.72,1.72
3.57416e-03,1.72,1.68
3.57424e-03,1.72,1.76
3.57432e-03,1.68,1.64
3.57440e-03,1.68,1.76
3.57448e-03,1.68,1.64
3.57456e-03,1.64,1.72
3.57464e-03,1.68,1.6
3.57472e-03,1.64,1.68
3.57480e-03,1.64,1.6
3.57488e-03,1.68,1.68
3.57496e-03,1.64,1.64
3.57504e-03,1.64,1.68
3.57512e-03,1.64,1.6
3.57520e-03,1.68,1.68
3.57528e-03,1.68,1.6
3.57536e-03,1.68,1.68
3.57544e-03,1.68,1.64
3.57552e-03,1.68,1.68
3.57560e-03,1.68,1.64
3.57568e-03,1.72,1.68
3.57576e-03,1.68,1.64
3.57584e-03,1.72,1.72
3.57592e-03,1.72,1.68
3.57600e-03,1.72,1.72
3.57608e-03,1.68,1.68
3.57616e-03,1.68,1.76
3.57624e-03,1.68,1.68
3.57632e-03,1.68,1.76
3.57640e-03,1.64,1.64
3.57648e-03,1.64,1.72
3.57656e-03,1.64,1.64
3.57664e-03,1.68,1.68
3.57672e-03,1.68,1.6
